
Temperature,Hardness,Milk Yield,Milk Color,Pain,Mastitis
40.07,3,1,3,4,1
38.78,2,0,0,2,0
40.07,5,1,5,4,1
39.69,4,1,4,4,1
40.12,5,1,4,4,1
40.7,5,1,4,5,1
40.22,3,1,3,3,1
39.53,4,1,3,4,1
38.8,2,0,2,0,0
39.54,3,1,4,4,1
38.72,0,0,1,0,0
39.07,1,0,2,2,0
39.08,1,0,2,0,0
40.96,4,1,3,4,1
39.17,0,0,2,2,0
38.99,0,0,2,0,0
40.76,5,1,4,5,1
38.75,1,0,1,0,0
39.03,0,0,0,2,0
38.94,1,0,0,0,0
38.62,2,0,1,0,0
40.3,5,1,5,3,1
38.76,1,0,2,0,0
40.17,3,1,3,3,1
38.71,2,0,0,1,0
39.68,4,1,3,4,1
39.6,5,1,3,4,1
39.1,0,0,0,1,0
38.61,0,0,1,0,0
40.35,3,1,3,3,1
39.93,4,1,4,5,1
40.74,3,1,3,3,1
39.11,0,0,2,0,0
39.84,3,1,4,5,1
40.6,4,1,4,4,1
40.4,4,1,4,5,1
38.57,2,0,1,2,0
38.75,0,0,0,2,0
39.03,0,0,2,2,0
38.73,1,0,2,0,0
39.34,1,0,2,2,0
40.98,4,1,5,4,1
40.44,5,1,4,3,1
40.3,3,1,5,4,1
40.76,4,1,5,5,1
39.93,5,1,3,3,1
40.14,5,1,3,3,1
39.27,1,0,2,1,0
40.68,4,1,4,3,1
38.82,0,0,2,1,0
38.98,2,0,1,0,0
39.88,5,1,4,3,1
39.83,3,1,3,5,1
39.34,0,0,2,1,0
38.77,1,0,2,1,0
40.29,3,1,4,3,1
39.55,3,1,4,5,1
39.12,1,0,0,0,0
39.28,1,0,2,2,0
40.93,5,1,5,5,1
38.88,2,0,1,0,0
38.6,2,0,1,1,0
38.53,0,0,1,2,0
39.15,1,0,0,1,0
40.2,4,1,3,4,1
39.71,5,1,5,4,1
38.64,0,0,2,0,0
39.75,4,1,5,4,1
39.24,0,0,1,2,0
40.92,4,1,5,5,1
38.86,2,0,2,1,0
40.68,4,1,5,5,1
39.26,1,0,2,2,0
40.51,5,1,4,4,1
39.05,2,0,2,2,0
39.85,5,1,4,4,1
38.96,2,0,0,2,0
39.14,1,0,2,0,0
39.38,2,0,0,1,0
38.68,0,0,1,1,0
38.51,2,0,0,2,0
38.57,1,0,1,2,0
38.84,1,0,0,1,0
39.24,0,0,0,1,0
40.84,4,1,4,3,1
38.91,2,0,0,2,0
39.56,3,1,3,3,1
38.55,1,0,2,1,0
40.86,3,1,4,4,1
39.86,5,1,4,3,1
40.2,3,1,5,4,1
40.18,3,1,4,3,1
38.97,2,0,1,1,0
40.43,5,1,3,4,1
39.37,1,0,0,1,0
39.07,1,0,2,2,0
40.21,5,1,5,3,1
40.39,5,1,5,4,1
38.54,0,0,0,2,0
40.78,4,1,5,4,1
39.57,5,1,4,5,1
40.75,3,1,5,3,1
40.77,3,1,5,3,1
39.93,5,1,5,3,1
40.19,4,1,4,4,1
39.01,0,0,0,2,0
39.83,4,1,4,5,1
40.1,5,1,5,5,1
39.57,5,1,3,3,1
39.92,3,1,3,4,1
39.39,0,0,2,0,0
38.73,0,0,2,1,0
40.73,3,1,4,4,1
40.3,4,1,4,4,1
40.82,5,1,5,3,1
38.94,0,0,2,0,0
39.35,2,0,1,2,0
38.55,0,0,0,2,0
39.34,2,0,1,1,0
40.18,3,1,3,5,1
40.89,4,1,5,5,1
39.3,0,0,0,0,0
40.08,3,1,5,4,1
38.93,1,0,2,2,0
38.79,1,0,0,0,0
39.36,0,0,1,1,0
39.89,4,1,3,3,1
40.51,4,1,5,3,1
39.95,5,1,5,5,1
40.58,5,1,4,5,1
40.93,3,1,3,4,1
38.9,0,0,0,2,0
39.16,0,0,1,2,0
38.82,2,0,1,1,0
40.58,3,1,4,4,1
38.57,1,0,2,1,0
38.6,1,0,0,1,0
39.28,1,0,0,0,0
38.93,0,0,2,0,0
39.14,1,0,1,2,0
38.85,1,0,1,0,0
38.73,2,0,2,2,0
39.64,4,1,3,5,1
40.39,5,1,5,4,1
40.32,3,1,3,3,1
39.34,1,0,0,0,0
39.11,1,0,0,1,0
39.01,1,0,1,0,0
39.05,2,0,1,0,0
39.35,1,0,2,2,0
39.21,1,0,2,1,0
38.52,1,0,1,2,0
38.98,1,0,2,0,0
39.12,1,0,1,2,0
39.17,0,0,1,1,0
38.69,1,0,0,2,0
39.28,0,0,0,0,0
39.36,1,0,1,2,0
38.71,0,0,0,0,0
40.46,4,1,3,5,1
38.59,1,0,0,1,0
40.29,5,1,5,4,1
38.62,1,0,2,1,0
40.99,5,1,3,3,1
39.26,1,0,1,0,0
38.55,0,0,0,2,0
40.3,4,1,5,4,1
38.59,2,0,1,1,0
38.77,1,0,2,0,0
38.58,0,0,2,0,0
40.87,3,1,3,5,1
40.71,4,1,3,3,1
39.27,0,0,1,0,0
40.2,5,1,4,5,1
38.51,1,0,2,0,0
39.6,5,1,5,4,1
40.08,5,1,3,3,1
40.78,5,1,5,5,1
40.11,3,1,4,4,1
38.8,1,0,2,0,0
40.31,4,1,4,3,1
40.79,5,1,4,4,1
40.39,5,1,5,5,1
39.13,2,0,1,2,0
38.67,0,0,0,1,0
39.18,0,0,1,1,0
38.71,1,0,1,0,0
40.64,4,1,4,3,1
39.65,3,1,3,5,1
40.83,4,1,4,3,1
39.52,3,1,4,4,1
39.26,1,0,2,2,0
38.57,0,0,0,0,0
39.14,2,0,1,2,0
40.29,5,1,3,4,1
40.27,5,1,5,4,1
38.72,0,0,2,2,0
40.47,4,1,3,4,1
39.57,4,1,3,4,1
39.09,2,0,1,2,0
38.85,2,0,2,2,0
38.62,2,0,2,0,0
40.28,3,1,5,3,1
40.07,4,1,3,5,1
39.51,4,1,3,4,1
38.61,0,0,0,1,0
40.69,5,1,5,5,1
40.39,5,1,3,4,1
39.65,3,1,3,3,1
39.12,0,0,0,0,0
40.3,3,1,5,5,1
38.79,1,0,1,1,0
40.37,4,1,4,4,1
40.34,5,1,5,5,1
38.66,2,0,0,2,0
38.74,0,0,2,0,0
38.61,2,0,0,2,0
38.71,2,0,1,2,0
38.6,1,0,1,1,0
40.3,3,1,4,4,1
39.7,5,1,4,3,1
39.65,5,1,3,4,1
39.81,4,1,5,3,1
40.89,5,1,4,4,1
39.14,2,0,2,2,0
40.09,3,1,3,3,1
39.97,4,1,3,5,1
38.96,1,0,1,1,0
40.23,3,1,3,3,1
38.97,1,0,2,1,0
39.08,1,0,0,1,0
40.06,4,1,5,3,1
38.86,0,0,1,2,0
38.5,0,0,1,0,0
40.17,3,1,4,4,1
38.84,1,0,0,2,0
38.95,0,0,1,2,0
38.51,2,0,2,0,0
38.94,2,0,2,2,0
39.73,3,1,3,4,1
38.75,1,0,0,2,0
40.96,3,1,5,5,1
39.12,2,0,1,2,0
40.97,3,1,4,3,1
40.22,3,1,3,4,1
40.3,4,1,3,5,1
39.34,2,0,2,0,0
39.11,1,0,0,1,0
40.76,3,1,3,4,1
38.56,0,0,1,1,0
38.94,2,0,0,1,0
40.56,4,1,4,3,1
39.77,5,1,5,4,1
39.29,0,0,0,0,0
38.58,0,0,0,1,0
39.14,0,0,1,1,0
40.75,4,1,3,4,1
40.32,3,1,5,4,1
39.75,5,1,5,3,1
40.37,4,1,5,5,1
38.96,2,0,2,0,0
38.63,1,0,2,0,0
40.73,4,1,5,4,1
39.28,2,0,0,0,0
38.88,1,0,2,0,0
38.9,2,0,0,0,0
39.95,5,1,3,5,1
39.99,5,1,5,5,1
38.82,0,0,0,2,0
40.19,5,1,4,3,1
40.6,4,1,3,4,1
39.72,3,1,3,4,1
39.17,0,0,1,1,0
40.57,5,1,3,4,1
